epoch,train_loss,val_loss,val_precision,val_recall,val_f1,val_iou
1,0.9323378803730011,0.8431659517288208,0.6631095534294594,0.5564368698208189,0.6051079224186404,0.4338026857117276
2,0.7300089055299759,0.9649259376525879,0.5228959962594272,0.8027195283510988,0.6332738513318149,0.46335094922976505
3,0.6913492512702942,0.8405089645385743,0.5603880396525872,0.771338230515978,0.6491554989111303,0.48055531603000734
4,0.6613421839475632,0.751134211063385,0.6324632576751218,0.7081723636162758,0.6681800627017463,0.5017045108528727
5,0.6638653328418732,0.7588654532432556,0.6392582939482283,0.6920312736140197,0.6645988052267057,0.4976772638099608
6,0.6258442569971084,0.7219946990013123,0.6746943454015865,0.6734849864867664,0.6740891185278453,0.5083970087954826
7,0.6074583387374878,0.764321946144104,0.6447800966389468,0.6816580948902312,0.6627064446596089,0.49555794947574977
8,0.6046115629673005,0.7450140092372894,0.6772114274351674,0.6594988140815662,0.6682377617276567,0.5017695726994575
9,0.6012930034399032,0.7248373136520386,0.6919872768654063,0.6619274409701835,0.6766236572249863,0.5112859002442692
10,0.5895717018842697,0.8361089944839477,0.6222251918148404,0.7051458898453531,0.6610955132640381,0.49375853711218154
