epoch,train_loss,val_loss,val_precision,val_recall,val_f1,val_iou
1,0.478530618985494,0.4715968551635742,0.4801408353173506,0.4948867837945657,0.48740229848679645,0.32222864322009115
2,0.3930423681735992,0.4425024948120117,0.5057092799152262,0.47634806346956027,0.490589750865228,0.32502082039367874
3,0.3626219503879547,0.40953327250480653,0.5858000465409354,0.4882698887894708,0.5326068843485255,0.36296128517045784
4,0.34943741472562156,0.379847824215889,0.6196925693247379,0.4959403600901751,0.5509528181147001,0.380217312326607
5,0.3356332487265269,0.3705257999897003,0.7098983299451458,0.4741233625469761,0.5685358343544632,0.3971708511521974
6,0.32785188682874045,0.3693346883058548,0.7261151011150994,0.40189270520662773,0.517408404544777,0.3489891702600797
7,0.3216081099510193,0.38794613134860995,0.7611323009167553,0.41543528092620946,0.5374977407937435,0.3675192593088864
8,0.30408539160092674,0.37694243305921554,0.7156757527425855,0.4977527564947489,0.5871455516934351,0.41557398870546547
9,0.2962704112529755,0.36488051438331603,0.6800726468815612,0.5483947025066935,0.6071764691497739,0.4359320924714015
10,0.28064994072914123,0.367178474843502,0.6207416494970913,0.6664411500340309,0.6427801485564518,0.47360061469149806
11,0.2806914194424947,0.36173537343740464,0.6880095095816228,0.5931676769058111,0.6370781553192284,0.4674355797455268
12,0.26677070327599844,0.363920681476593,0.6580425589063161,0.5232445355349415,0.5829525638646837,0.4113853608313881
13,0.26550492147604626,0.3674587707519531,0.638041298083991,0.6336378102993305,0.6358319251360365,0.4660950099787596
14,0.24912956897417704,0.3695377345085144,0.7075842590586475,0.46975432398744577,0.5646477015898509,0.39338614561589574
15,0.24727325606346132,0.3863743792772293,0.7466412815631053,0.42306066706158124,0.5400940920116105,0.3699513067122075
16,0.24618205086390177,0.41105667954683306,0.5798092245908456,0.7104711045633941,0.6385243388287578,0.46899431573319666
