sample_id,change_ratio,num_components,largest_component_ratio,elongation,boundary_complexity,category
01233,1.0,1,1.0,1.0,1.2732395447351628,large_scale_contiguous
02236,1.0,1,1.0,1.0,1.2732395447351628,large_scale_contiguous
02383,1.0,1,1.0,1.0,1.2732395447351628,large_scale_contiguous
02685,1.0,1,1.0,1.0,1.2732395447351628,large_scale_contiguous
02698,1.0,1,1.0,1.0,1.2732395447351628,large_scale_contiguous
01016,0.27960205078125,6,0.32722113075747655,1.5479229564423567,1.8365992032045402,fragmented_or_linear
00663,0.11907958984375,6,0.3714761660686827,1.0962898312199734,1.6611625622885717,fragmented_or_linear
03007,0.421142578125,5,0.5382246376811595,1.2628357543406121,4.339128371068166,fragmented_or_linear
00563,0.1264190673828125,4,0.3507543753771877,3.132940071650545,2.366950561096192,fragmented_or_linear
02044,0.2054443359375,4,0.7997623291740938,2.0166403992913304,2.5204656515206842,fragmented_or_linear
02943,0.06964111328125,1,1.0,2.474623786389159,10.39152055255041,complex_boundary
02936,0.07684326171875,1,1.0,2.293779044150261,9.613767610912344,complex_boundary
00497,0.1113433837890625,1,1.0,2.3173314692050018,9.391646602141345,complex_boundary
02343,0.1241607666015625,1,1.0,1.2114992571780738,6.999492395843614,complex_boundary
02927,0.17803955078125,1,1.0,1.1244707608536078,6.550068878362028,complex_boundary
