epoch,train_loss,val_loss,val_precision,val_recall,val_f1,val_iou
1,1.0214340932369232,0.936602588891983,0.5380014369700016,0.7785144260951291,0.6362883858983059,0.4665857402744446
2,0.8762610992590586,0.9023005818128585,0.5998816910009426,0.7434079290776286,0.6639771432948708,0.49698038275468565
3,0.8185403196016947,0.8815332629680633,0.5869284366224942,0.7798852330555704,0.6697867125387412,0.5035182900516745
4,0.7782833010355632,0.8544395723342896,0.7320251650947522,0.5966235706061603,0.6574250255164263,0.4896747260914248
5,0.749378611723582,0.9178734567165375,0.5748355859083172,0.8136149299184465,0.6736931655017843,0.5079466947581599
6,0.7406423606872559,0.8420016665458679,0.6900866773729141,0.6782491046644612,0.6841166821663718,0.5198916047446672
7,0.7048784533341725,0.8283481497168541,0.6682041231735355,0.6793837252905021,0.673747546187505,0.5080085256696412
8,0.7079618905385335,0.8111501163244248,0.6967822691675672,0.6625326339638936,0.6792259654202458,0.5142635721203248
9,0.6916490434805552,0.8596683743596077,0.7189772914729601,0.6269035031718291,0.669790937161557,0.5035230651750094
10,0.6943265252510706,0.8210258632898331,0.6393106940589085,0.7282657153469756,0.6808951270745774,0.5161796826004883
